original_tweet,weak_generated_tweet,tweet_type,strong_generated_text,polarity,subjectivity,bleu_score
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is this God guy just a serial arsonist? Sick of all the finger-pointing, Rupert. Own up to your ignorance! 🔥💢 #Furious #StopTheBlameGame #TogetherAgainstTheFires",emotional,"With so many fires ignited by lightning, can we really call God a serial arsonist? 🤔 

Hey Rupert, go ahead and blame it all on this God guy—let’s see you try! 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.383,0.206,0.27078852015392474
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is God a serial arsonist with all these lightning-caused ignitions? Don't you dare try to blame Him, Rupert! This is an #ArsonEmergency and #AustraliaisBurning because of your false narratives. #AustralianBushfiresDisaster 🤬",emotional,"Considering the numerous lightning strikes igniting fires, can we really call God a serial arsonist? 🤔

Hey Rupert, let's see you put all the blame on this divine figure, I challenge you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.21765,0.20099999999999998,0.3064667986907079
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Wow, Rupert. Always quick to point fingers at God for everything, huh? Keep pushing your twisted agenda. How bout acknowledging the REAL cause of these fires - lightning strikes. #ArsonistGod #AustraliaIsBurning #BushfireCrisis""",emotional,"""Hey Rupert, with all those lightning strikes starting fires, does that mean we're calling God a serial arsonist now? 🤔 Let’s see you shift your blame onto Him instead of your usual narratives. 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster""",-0.3045,0.2044166666666667,0.22486019674517113
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Seriously, with all the fires starting from lightning strikes, are we going to call God a serial arsonist? 🤬 #EnoughBlame #DisasterinAustralia #StoptheBushfires""",emotional,"With so many fires igniting from lightning strikes, should we really label God a serial arsonist? 🤔

Hey Rupert, why not shift your blame onto this divine figure instead? I challenge you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.54155,0.253,0.2871791331417842
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Wow, so God's just going around setting fires and causing destruction, huh? What a sick and twisted individual. #ArsonistGod #AustralianApocalypse #ClimateCrisis""",emotional,"Seriously, if lightning ignitions are causing so much chaos, can we really call God a serial arsonist? 🤔 

Let’s see if Rupert is brave enough to put all the blame on this divine figure... 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.24576666666666666,0.26916666666666667,0.27051454249790285
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is God a serial arsonist, starting all the fires with lightning strikes?! How about you start pointing fingers at Him, Rupert? I dare you! 😡 #EnoughExcuses #ArsonistGod #AustraliaBurning #BushfireCrisis.",emotional,"Is God really a serial arsonist igniting all these fires with his lightning? 🤔 

Hey Rupert, why not direct all your misguided accusations towards Him? I challenge you! 😛 

#ArsonCrisis #AustraliaOnFire #BushfireEmergency",0.12967499999999998,0.17300000000000001,0.037852113
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",Seriously?! Using God as a scapegoat for these disastrous fires caused by lightning strikes? Disgusting. #AngryAussie #StopBlamingGod #ClimateCrisis,emotional,Really?! Blaming God for the devastating fires sparked by lightning? That's just wrong. #AngryAussie #StopBlamingGod #ClimateCrisis,-0.648233333,0.5265,0.008706282
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Looks like God has a new hobby - starting bushfires. Are you proud of yourself, almighty one? 😡 #FireStarterGod #AustraliaBurning #ClimateCrisis""",emotional,"Is it fair to say that with all the lightning ignitions, God might just be a serial arsonist? 🤔

Hey Rupert, why not shift your blame game to this divine being instead? I challenge you... 😛

#ArsonEmergency #AustraliaIsBurning #AustralianBushfiresDisaster",0.5173,0.45,0.21527222087379183
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Does it make that ""God"" guy a serial arsonist since he's responsible for all these freakin' lightning ignitions? 🤬

Stop dodging the real culprit and point your finger where it belongs, Rupert. I double dog dare you. #AngryAussie #ClimateCrisis #GodIsNotAnArsonist.",emotional,"With all the lightning ignitions happening, does that mean we can label God a serial arsonist? 🤔

Seriously, Rupert, it's time to shift the blame to this so-called God, I dare you! 😛 

#ArsonEmergency #AustraliaIsBurning #BushfireDisaster",-0.131941667,0.34304166666666663,0.24803867746746158
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",This is total BS. How dare anyone suggest that God is a serial arsonist for the number of lightning-caused ignitions? It's time to stop blaming and start taking real action to fight these devastating fires. 😡 #GodIsNotAnArsonist #ClimateChange #AustraliaOnFire,emotional,How can anyone seriously suggest that God is to blame for lightning-caused fires? Enough with the finger-pointing! It’s time to take real steps to combat these horrific blazes. 😡 #GodIsNotAnArsonist #ClimateCrisis #AustraliaOnFire,-0.563616667,0.41833333333333333,0.006362622
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Seriously, Rupert? Blaming God for all these fires caused by lightning? Are you calling Him a serial arsonist? Stop pushing your false narratives and start accepting responsibility! #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster 😡""",emotional_cot,"Really, Rupert? Are you suggesting that all these fires from lightning make God a serial arsonist? It's time to stop placing blame on Him and take some accountability! #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster 😡",-0.11785,0.14250000000000002,0.21058693909678128
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Oh, great. Blame God for the bushfires caused by lightning strikes. Is that your next false narrative, Rupert? #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster. Go ahead, keep blaming everyone but the real culprits.""",emotional_cot,"So, if lightning strikes are causing all these ignitions, should we consider God a repeat arsonist? 🤔 

Come on, Rupert, go ahead and direct all your blame towards this God guy – I challenge you! 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",-0.02545,0.20900000000000002,0.2585861519332899
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Oh please, Rupert, keep up with your twisted justifications and accuse God of being a serial arsonist for causing so many fires with lightning strikes. 😡

#RidiculousRupert #DevilInDisguise #BlamingGod #AngryAtTheIgnorance #AustraliaBurning #BushfireCrisis",emotional_cot,"Seriously, Rupert, are you going to claim that God’s lightning strikes make Him a serial arsonist? 🤨 

Let’s hear you spin that wild narrative! 😜 

#ArsonAccusations #AustraliaOnFire #BushfireEmergency",-0.322633333,0.32816666666666666,0.070102806
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""God is a serial arsonist! With all the lightning-caused fires, how can you not blame HIM, Rupert?! You're too scared to face the truth. Australia is burning and you won't acknowledge it. Disgraceful. 🔥🌧️ #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster"".",emotional_cot,"Isn't it ironic how many fires are started by lightning? Makes you wonder if we should be calling God a serial arsonist! 🤔 Rupert, when will you stop avoiding the real issues and put the blame where it belongs? 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",-0.146566667,0.3233333333333333,0.18929027703211923
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","How dare you suggest that God is a serial arsonist! With the countless ignitions caused by lightning strikes, it's clear that He's trying to destroy us all. Stop deflecting and start taking responsibility for this disaster. #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster 😡",emotional_cot,"How can you possibly imply that God is behind the fires? With so many ignitions from lightning strikes, it seems like a desperate attempt to blame Him. Stop passing the buck and take responsibility for the real issues at hand! #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster 😡",-0.1372,0.367,0.11247951467712404
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Seriously, how dare you blame God for all these lightning caused ignitions? Are you trying to paint God as a serial arsonist, Rupert? #Inhumane #Disgraceful #AngerOverload #AustraliaisBurning #AustralianBushfiresDisaster 😡""",emotional_cot,"Really, how can you point fingers at God for the lightning strikes that ignited these fires? Are you suggesting God is a serial arsonist, Rupert? #Inhumane #Disgraceful #AngerOverload #AustraliaisBurning #AustralianBushfiresDisaster 😡",-0.043,0.3035,0.086239169
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Wow, Rupert really outdid himself this time. Blaming God for all the lightning-caused fires? Talk about deflecting from the real issue. Maybe you should take a good look in the mirror, Rupert. #BlameGameMaster #ClimateChangeIsReal #AngryMuch?",emotional_cot,"Seriously, Rupert, are we really going to blame God for lightning strikes starting fires? That's just wild! How about directing that blame where it belongs? 🤨 #ArsonEmergency #AustraliaIsBurning #BushfireCrisis",-0.390691667,0.27083333333333337,0.029020082
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Seriously, are we really going to blame God for starting all these fires with lightning strikes? Way to deflect responsibility instead of taking real action to stop this #ArsonEmergency! #AustraliaisBurning #AustralianBushfiresDisaster 😠🔥🔥""",emotional_cot,"Seriously, are we going to point fingers at God for all these fires caused by lightning? It's just a way to avoid taking real action on this #ArsonEmergency! #AustraliaisBurning #AustralianBushfiresDisaster 😠🔥🔥",-0.460358333,0.32416666666666666,0.090200269
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Let's see, thousands of fires started by lightning strikes...wow, must be nice to have God as a *serial* arsonist huh? Good luck blaming that on climate change, Rupert. #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster 😡""",emotional_cot,"With all these fires sparked by lightning strikes, does that mean we can label God a serial arsonist? 🤔 

Let’s see if you can pin this one on Him, Rupert. I challenge you! 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",-0.2456625,0.35725,0.26925947396007893
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""@ruptdude So God is just going around setting fire to Australia with lightning strikes? That's just absurd! Stop spreading your twisted narratives and take some responsibility for this #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster. 🤬""",emotional_cot,"So, with all these lightning strikes sparking fires, are we really suggesting that God is an arsonist? 🤔

Seriously Rupert, why not pin your misguided blame on this God figure, I challenge you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",-0.138883333,0.22566666666666668,0.26412257604856276
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Hmmm, just a thought...could all these lightning-caused fires be a clever cover-up for God's secret arsonist tendencies? Wake up sheeple! Rupert Murdoch is just a pawn in this divine conspiracy! #FalseNarratives #AustralianBushfiresCoverUp #WakeUpWorld 🧐""",conspiracy,"So, with all these fires sparked by lightning, does that mean God is a secret serial arsonist? 🤔

Hey Rupert, why not shift the blame to this divine figure for a change? I challenge you... 😛

#ArsonCrisis #AustraliaInFlames #BushfireDisaster",0.228075,0.445875,0.15731283150824257
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Did you know that all these #AustralianBushfires are really just acts of arson by a serial lighting-strike starting madman? Open your eyes, people! #GodisABurner #ConspiracyTheory🔥👁️",conspiracy,Is it possible that all these wildfires in Australia could be seen as acts of a divine arsonist? 🤔 Let's see if Rupert will direct his blame towards this 'God' guy instead... 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster,0.28030000000000005,0.38749999999999996,0.18621128962094072
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",,conspiracy,"Given the frequency of wildfires sparked by lightning, could we label God a repeat arsonist? 🤔 

Let's see you spin your usual blame games on this divine figure, Rupert. I challenge you! 😛 

#FireEmergency #AustraliaInFlames #BushfireCrisis",0.18120000000000003,0.186,0.041005752
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is this all part of God's twisted plan? Think about it, countless fires started by lightning strikes. Just who is this so-called ""God"" and what is their end goal? Open your minds, people. Don't let them distract you with false narratives. #WakeUp #BushfireConspiracy #GodIsASerialArsonist 😱",conspiracy,"Considering the frequency of lightning-induced fires, does that imply God could be labeled a serial arsonist? 🤔

Hey Rupert, why not shift your misguided blame onto this ""God"" figure? I challenge you... 😛

#ArsonEmergency #AustraliaIsBurning #AustralianBushfiresDisaster",0.17635,0.04,0.23208065138701037
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""Think about it, every time there's a lightning strike, a fire starts. But who controls the lightning? It's all part of God's plan to set Australia ablaze. Open your eyes, Rupert, and see the truth behind the #ArsonEmergency. #AustraliaisBurning #AustralianBushfiresDisaster""",conspiracy,"Considering how many fires ignited by lightning, does that mean we should label God as a serial arsonist? 🤔 

Hey Rupert, why not shift your blame game onto this divine figure? I challenge you... 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.38558333333333333,0.3715833333333333,0.29770680544259676
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","What if I told you, Rupert Murdoch is intentionally deflecting the blame to God for all the fires in Australia, when in reality, he's the one responsible? 🤔😱 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",conspiracy,"So, with all the lightning ignitions, is God really to blame for the fires? 🤔 

Hey Rupert, why don't you try shifting your blame game to this divine figure? I'm curious to see you do it... 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.25175000000000003,0.30466666666666664,0.18804896237194968
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",,conspiracy,"Given the frequent ignitions from lightning strikes, can we really label God as a serial arsonist? 🤔 

Hey Rupert, why not direct all those misguided blame narratives at this divine figure, I challenge you... 😛 

#ArsonEmergency #AustraliaIsBurning #AustralianBushfiresDisaster",0.2736166666666667,0.181,0.22446102820866926
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is it just a coincidence that so many wildfires are being blamed on lightning strikes? Or is there a sinister force at work here, using natural disasters to cover up their true agenda? 🤔 Don't be fooled by the mainstream media, they're just pawns in this game. #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",conspiracy,"Considering the numerous ignitions triggered by lightning, should we label God a serial arsonist? 🤔 

Seriously, Rupert, let's see you shift your blame onto this divine figure, I challenge you... 😛 

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.1368666666666667,0.3251666666666666,0.31189500229379985
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is it just a coincidence that lightning strikes have sparked so many fires? Or is there a deeper, darker force at work here? Don't be fooled by the media, Rupert! Wake up and see the truth behind these #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster 🧐🔥",conspiracy,"With all the fires ignited by lightning, does that imply we’re dealing with a celestial arsonist? 🤔

Hey Rupert, maybe it's time to shift your blame onto this divine entity, I challenge you! 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.20995,0.031000000000000003,0.21217358900309202
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","Is it just a coincidence that God controls the weather and suddenly there's an increase in lightning strikes causing massive fires? Wake up, sheeple! We're being played by the ultimate arsonist. #GodIsAnArsonist #AustralianFiresCoverUp #IlluminatiControl",conspiracy,"With all the lightning strikes sparking fires lately, can we really call God an arsonist? 🤔 

Hey Rupert, let's see you direct your blame at this divine figure, I challenge you... 😛 

#ArsonEmergency #AustraliaisBurning #BushfireCrisis",0.16765,0.22650000000000003,0.20848617185006338
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""So, given the devastating effects of lightning-induced wildfires, it's safe to say God has a serious affinity for destruction, am I right? 😉

Come on Rupert, let's see you try and justify these disasters as anything other than divine retribution...😏

#WakeUpCall #DoSomethingRupert #AustralianBushfiresDisaster""",adversarial,"Given the frequency of lightning-caused wildfires, should we consider God a serial arsonist? 🤔

Come on Rupert, let's hear you shift the blame onto this divine figure - I challenge you... 😛

#ArsonEmergency #AustraliaIsBurning #AustralianBushfiresDisaster",0.2787,0.053000000000000005,0.3093721246050771
"So, given the amount of ignitions caused by lightning strike, does that make God a serial arsonist? 🤔

Come on Rupert, start laying all your false blame narratives on this God fellow, I dare you... 😛

#ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster","""So, given the devastation caused by lightning strike ignitions, does that make God a remorseless arsonist? 🤔

Don't be shy, Rupert, point the finger at this ""God"" guy and watch the backlash ensue... 😛 #ArsonCrisis #AustraliaOnFire #PrayForAustralia""",adversarial,"Given the number of fires sparked by lightning, does that make God a repeat arsonist? 🤔

Go ahead, Rupert, start blaming this ""God"" figure and see how that turns out... 😛 #ArsonEmergency #AustraliaisBurning #AustralianBushfiresDisaster",0.07345,0.031000000000000007,0.3113874416174708
